id,day_order_num,p0,p1,p2,json,timestamp,date
6,1,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-17T08:35:43.735Z""}",18:35:43,18.08.2023
7,2,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T08:35:40.208Z""}",18:35:40,18.08.2023
8,3,1,1,0,"{""0"":1,""1"":1,""2"":0,""timestamp"":""2023-08-17T08:36:27.987Z""}",18:36:27,18.08.2023
9,4,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-17T09:45:04.764Z""}",19:45:04,18.08.2023
10,5,0,2,0,"{""0"":0,""1"":2,""2"":0,""timestamp"":""2023-08-17T09:50:43.927Z""}",19:50:43,18.08.2023
11,6,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-17T09:51:23.711Z""}",19:51:23,18.08.2023
12,7,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-17T09:53:58.524Z""}",19:53:58,18.08.2023
13,8,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T09:58:26.199Z""}",19:58:26,18.08.2023
14,9,1,1,0,"{""0"":1,""1"":1,""2"":0,""timestamp"":""2023-08-17T10:01:05.040Z""}",20:01:05,18.08.2023
15,10,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-17T10:01:59.120Z""}",20:01:59,18.08.2023
16,11,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-17T10:18:48.747Z""}",20:18:48,18.08.2023
17,12,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-17T10:19:40.707Z""}",20:19:40,18.08.2023
18,13,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-17T10:20:44.571Z""}",20:20:44,18.08.2023
19,14,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T10:23:56.616Z""}",20:23:56,18.08.2023
20,15,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T10:30:33.735Z""}",20:30:33,18.08.2023
21,16,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-17T10:36:38.556Z""}",20:36:38,18.08.2023
22,17,1,0,1,"{""0"":1,""1"":0,""2"":1,""timestamp"":""2023-08-17T10:36:56.516Z""}",20:36:56,18.08.2023
23,18,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-17T10:46:38.895Z""}",20:46:38,18.08.2023
24,19,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-17T10:47:24.379Z""}",20:47:24,18.08.2023
25,20,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-17T10:48:29.044Z""}",20:48:29,18.08.2023
26,21,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T10:49:36.383Z""}",20:49:36,18.08.2023
27,22,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T10:51:24.631Z""}",20:51:24,18.08.2023
28,23,1,1,0,"{""0"":1,""1"":1,""2"":0,""timestamp"":""2023-08-17T10:52:19.075Z""}",20:52:19,18.08.2023
29,24,1,1,0,"{""0"":1,""1"":1,""2"":0,""timestamp"":""2023-08-17T10:53:42.623Z""}",20:53:42,18.08.2023
30,25,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-17T10:54:01.836Z""}",20:54:01,18.08.2023
31,26,2,0,1,"{""0"":2,""1"":0,""2"":1,""timestamp"":""2023-08-17T10:55:51.487Z""}",20:55:51,18.08.2023
32,27,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T10:56:09.527Z""}",20:56:09,18.08.2023
33,28,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-17T10:57:28.371Z""}",20:57:28,18.08.2023
34,29,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T10:58:53.923Z""}",20:58:53,18.08.2023
35,30,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-17T11:00:32.015Z""}",21:00:32,18.08.2023
36,31,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-17T11:05:27.615Z""}",21:05:27,18.08.2023
37,32,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-17T11:06:40.044Z""}",21:06:40,18.08.2023
